        0.500        0.500        0.500      0        0.037       -0.095       0.995
        0.500        0.500        1.500      0       -0.054       -0.074       0.996
        0.500        0.500        2.500      0        0.052        0.127       0.991
        0.500        1.500        0.500      0        0.097       -0.035       0.995
        0.500        1.500        1.500      0        0.078        0.100       0.992
        0.500        1.500        2.500      0        0.070        0.110       0.992
        0.500        2.500        0.500      0        0.097        0.000       0.995
        0.500        2.500        1.500      0        0.090        0.077       0.993
        0.500        2.500        2.500      0        0.140        0.051       0.989
        0.500        3.500        0.500      0        0.063       -0.017       0.998
        0.500        3.500        1.500      0        0.138       -0.238       0.961
        0.500        3.500        2.500      0        0.092       -0.130       0.987
        0.500        4.500        0.500      0        0.029       -0.000       1.000
        0.500        4.500        1.500      0        0.091       -0.092       0.992
        0.500        4.500        2.500      0        0.024       -0.085       0.996
        0.500        5.500        0.500      0        0.099       -0.088       0.991
        0.500        5.500        1.500      0       -0.009       -0.082       0.997
        0.500        5.500        2.500      0       -0.007       -0.037       0.999
        0.500        6.500        0.500      0        0.122       -0.099       0.988
        0.500        6.500        1.500      0       -0.012       -0.016       1.000
        0.500        6.500        2.500      0        0.096        0.000       0.995
        0.500        7.500        0.500      0        0.135       -0.023       0.991
        0.500        7.500        1.500      0        0.129       -0.005       0.992
        0.500        7.500        2.500      0        0.085       -0.004       0.996
        0.500        8.500        0.500      0        0.033        0.054       0.998
        0.500        8.500        1.500      0        0.147       -0.057       0.987
        0.500        8.500        2.500      0        0.089       -0.019       0.996
        0.500        9.500        0.500      0       -0.027       -0.085       0.996
        0.500        9.500        1.500      0        0.134       -0.104       0.985
        0.500        9.500        2.500      0        0.104       -0.079       0.991
        0.500       10.500        0.500      0       -0.020       -0.014       1.000
        0.500       10.500        1.500      0        0.182       -0.175       0.968
        0.500       10.500        2.500      0        0.034       -0.115       0.993
        0.500       11.500        0.500      0        0.136       -0.092       0.987
        0.500       11.500        1.500      0        0.062       -0.185       0.981
        0.500       11.500        2.500      0        0.048       -0.141       0.989
        0.500       12.500        0.500      0        0.118       -0.011       0.993
        0.500       12.500        1.500      0       -0.028       -0.061       0.998
        0.500       12.500        2.500      0       -0.010       -0.095       0.995
        0.500       13.500        0.500      0        0.009       -0.013       1.000
        0.500       13.500        1.500      0       -0.025        0.055       0.998
        0.500       13.500        2.500      0        0.113       -0.031       0.993
        0.500       14.500        0.500      0        0.072        0.049       0.996
        0.500       14.500        1.500      0        0.017        0.072       0.997
        0.500       14.500        2.500      0        0.012        0.083       0.996
        0.500       15.500        0.500      0        0.076       -0.063       0.995
        0.500       15.500        1.500      0        0.070       -0.127       0.989
        0.500       15.500        2.500      0        0.111       -0.043       0.993
        0.500       16.500        0.500      0        0.133        0.118       0.984
        0.500       16.500        1.500      0        0.055        0.044       0.997
        0.500       16.500        2.500      0        0.037        0.022       0.999
        0.500       17.500        0.500      0        0.112        0.099       0.989
        0.500       17.500        1.500      0        0.112       -0.066       0.992
        0.500       17.500        2.500      0        0.226       -0.051       0.973
        0.500       18.500        0.500      0        0.076        0.048       0.996
        0.500       18.500        1.500      0        0.005       -0.007       1.000
        0.500       18.500        2.500      0        0.024       -0.085       0.996
        0.500       19.500        0.500      0        0.060        0.082       0.995
        0.500       19.500        1.500      0        0.028        0.009       1.000
        0.500       19.500        2.500      0        0.085        0.022       0.996
        0.500       20.500        0.500      0        0.082        0.062       0.995
        0.500       20.500        1.500      0        0.033        0.102       0.994
        0.500       20.500        2.500      0        0.014       -0.001       1.000
        0.500       21.500        0.500      0        0.068        0.065       0.996
        0.500       21.500        1.500      0        0.030        0.029       0.999
        0.500       21.500        2.500      0        0.075        0.043       0.996
        0.500       22.500        0.500      0        0.003       -0.084       0.996
        0.500       22.500        1.500      0        0.041        0.047       0.998
        0.500       22.500        2.500      0       -0.049        0.039       0.998
        0.500       23.500        0.500      0       -0.025        0.078       0.997
        0.500       23.500        1.500      0       -0.087        0.042       0.995
        0.500       23.500        2.500      0        0.002        0.149       0.989
        0.500       24.500        0.500      0       -0.113        0.011       0.994
        0.500       24.500        1.500      0       -0.069        0.063       0.996
        0.500       24.500        2.500      0       -0.091       -0.019       0.996
        0.500       25.500        0.500      0       -0.105       -0.004       0.994
        0.500       25.500        1.500      0       -0.041       -0.015       0.999
        0.500       25.500        2.500      0        0.064       -0.075       0.995
        0.500       26.500        0.500      0       -0.082       -0.134       0.988
